"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5,J3,J2,J4";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03";;;
2;"C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"DNP";;;
3;"C10,C3,C5,C33,C32,C2,C26,C13,C14,C9,C25";"C_0805_2012Metric";11;"10u";;;
4;"RV1,RV2";"Potentiometer_Bourns_3266W_Vertical";2;"10k";;;
5;"R2,R4,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"10k";;;
6;"C29";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1u-10u?";;;
7;"C28,C20,C27,C19,C17,C24";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";6;"1u";;;
8;"R10,R9,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"300";;;
9;"C4,C38,C6,C18,C11,C12,C16,C34,C31,C1,C37,C35,C36";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";13;"100n";;;
10;"U11,U8,U9,U12";"SOT-23-6";4;"TS5A63157DBV";;;
11;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
12;"D4,D1,D2";"LED_0805_2012Metric";3;"LED_Small";;;
13;"R1,R3,R14,R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"5k1";;;
14;"U4";"TSSOP-16_4.4x5mm_P0.65mm";1;"PCA9554APW";;;
15;"SW1";"PTS526SK15SMTR2LFS";1;"MCU_RESET";;;
16;"R20";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10";;;
17;"U2";"ESP32-A1S";1;"ESP32-A1S";;;
18;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
19;"R17";"R_0805_2012Metric";1;"100k";;;
20;"J15,J14";"SMA_Amphenol_901-144_Vertical";2;"SMA";;;
21;"C21";"C_0805_2012Metric";1;"470n";;;
22;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
23;"C30";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"47n";;;
24;"U10";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"LM386";;;
25;"R15";"R_0805_2012Metric";1;"150k";;;
26;"C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10p";;;
27;"C22";"C_0805_2012Metric";1;"2u2";;;
28;"L1";"L_0805_2012Metric";1;"L_Small";;;
29;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
30;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
31;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper_3_Bridged12";;;
32;"R19";"R_0805_2012Metric";1;"1k";;;
33;"FB2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"MH2029-401Y";;;
34;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
35;"R16,R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1Meg";;;
36;"C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"15n";;;
37;"R13";"R_0805_2012Metric";1;"2k2";;;
38;"J6";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle";;;
39;"U7";"DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm";1;"MAX9814";;;
40;"FL2,FL1";"Filter_Mini-Circuits_FV1206";2;"LFCN-160";;;
41;"D3";"D_SOD-123";1;"D_Small";;;
42;"U14,U13";"SA818S";2;"SA818S";;;
