Designator,Mid X,Mid Y,Rotation,Layer
J5,73.2,-95.4,-90.0,top
C7,128.0,-61.75,90.0,top
J3,111.6,-84.8,90.0,top
C10,82.5,-59.25,180.0,top
RV1,113.225,-78.0,180.0,top
R2,130.25,-64.25,-90.0,top
C29,119.2,-89.6,0.0,top
R4,135.25,-64.25,-90.0,top
J2,99.0,-94.0,90.0,top
C28,107.8,-92.6,180.0,top
R10,128.75,-74.75,90.0,top
C4,137.2875,-79.8,180.0,top
U11,66.7,-85.35,0.0,top
C38,69.7,-86.35,-90.0,top
C6,131.5,-85.2,180.0,top
C18,75.7,-72.15,180.0,top
J7,106.6,-97.6,-90.0,top
D4,117.18,-60.535,180.0,top
R1,90.74,-84.8,0.0,top
U4,121.5,-68.5,180.0,top
C3,85.5,-59.0,90.0,top
C5,137.35,-77.95,180.0,top
C20,96.4,-97.2625,90.0,top
C27,114.6,-81.2,90.0,top
SW1,131.75,-56.25,180.0,top
R20,110.4,-93.4,-90.0,top
R3,94.14,-84.8,0.0,top
U8,106.25,-84.75,180.0,top
D1,130.6,-71.2875,90.0,top
C19,116.4,-81.2,-90.0,top
C11,129.3625,-67.0,180.0,top
C12,119.5,-72.15,0.0,top
U9,107.5,-89.5,90.0,top
U2,90.95,-58.1,0.0,top
U12,114.2,-66.2,-90.0,top
U3,80.4,-64.4,0.0,top
C33,125.85,-89.85,180.0,top
C17,100.6,-84.8,-90.0,top
R17,72.7,-74.0625,90.0,top
C16,69.7,-74.0125,90.0,top
FID1,146.2,-64.8,0.0,top
C24,117.3375,-95.8,0.0,top
C32,74.1,-59.35,180.0,top
C34,125.8,-88.0,0.0,top
J15,144.95,-75.0,180.0,top
C21,75.55,-77.45,0.0,top
J4,85.35,-88.05,180.0,top
Q1,132.75,-62.25,90.0,top
RV2,120.775,-93.275,90.0,top
C30,110.6,-89.25,90.0,top
C2,87.5,-59.0,90.0,top
U10,114.25,-91.25,-90.0,top
R15,74.69,-74.65,-90.0,top
C26,114.6,-97.0,-90.0,top
C31,74.1625,-57.55,180.0,top
J14,55.05,-75.0,0.0,top
C13,67.95,-78.9,-90.0,top
C15,139.25,-92.78,0.0,top
C14,66.95,-81.65,0.0,top
C9,74.6,-64.1,90.0,top
R11,129.35,-68.55,180.0,top
C22,67.1,-76.1,180.0,top
L1,66.05,-78.9,-90.0,top
J1,82.25,-93.4,90.0,top
U1,137.0,-85.8,0.0,top
JP1,94.94,-87.6,-90.0,top
R9,130.35,-74.75,90.0,top
R19,75.5375,-79.45,0.0,top
FB2,122.85,-90.0,90.0,top
R14,139.25,-96.25,0.0,top
R12,139.25,-97.87,0.0,top
C1,89.25,-59.0,90.0,top
J8,72.0,-79.25,0.0,top
J9,147.4,-86.86,0.0,top
Q2,132.75,-66.25,-90.0,top
C37,114.1,-69.2,180.0,top
R16,139.25,-94.5,180.0,top
C35,103.2,-85.6,-90.0,top
D2,128.55,-71.25,90.0,top
C8,126.25,-61.75,90.0,top
R13,76.7,-74.7,90.0,top
R7,124.6,-63.2,-90.0,top
J6,131.5,-96.81,0.0,top
R5,120.8,-60.6,180.0,top
C25,112.6,-97.0,-90.0,top
C36,104.75,-90.0,-90.0,top
U7,71.2,-77.65,0.0,top
FL2,143.8,-82.6,45.0,bottom
D3,143.8,-88.8,90.0,bottom
U14,129.8,-72.05,90.0,bottom
FL1,56.2,-65.8,-135.0,bottom
U13,69.8,-75.6,-90.0,bottom
